fold,num_source_train,num_val,num_cdan_target,cdan_target_source,selection_source,selection_monitor,num_test,loss,accuracy,precision_macro,recall_macro,f1_macro,auc
1,3281,0,365,test,test,auc,365,0.8671804666519165,0.8328767123287671,0.833843704066634,0.8294053662073966,0.8308452041785375,0.8830070099105632
2,3281,0,365,test,test,auc,365,0.6324443419774374,0.8027397260273973,0.8070776255707762,0.7966672709693015,0.798811856932876,0.8637448634276046
3,3281,0,365,test,test,auc,365,1.0231277743975322,0.8191780821917808,0.8196049654497646,0.8158387720570461,0.8170898378181376,0.8845781967609379
4,3281,0,365,test,test,auc,365,0.5471650958061218,0.8438356164383561,0.8450208231259186,0.8404338892917573,0.841937321937322,0.9206248489243414
5,3281,0,365,test,test,auc,365,0.8059881428877512,0.8164383561643835,0.8152246105542809,0.8154912980420594,0.8153517415301907,0.8885061638868745
6,3281,0,365,test,test,auc,365,1.6828315258026123,0.7890410958904109,0.78963133640553,0.7848531544597535,0.786210358965777,0.8520062847474015
7,3282,0,364,test,test,auc,364,0.862697184085846,0.8131868131868132,0.8139836394505324,0.809173531110368,0.8106660955236668,0.8748138241283929
8,3282,0,364,test,test,auc,364,0.6488500038782755,0.8489010989010989,0.8477891156462585,0.8480956867989908,0.8479358930538149,0.9111219185993494
9,3282,0,364,test,test,auc,364,0.8962272107601166,0.8406593406593407,0.8409926470588236,0.8380102040816326,0.8390853658536586,0.904610058309038
10,3282,0,364,test,test,auc,364,0.7494162122408549,0.8543956043956044,0.8592320899016701,0.8494897959183674,0.8519268998441902,0.9096665451895044
