fold,num_source_train,num_val,num_cdan_target,cdan_target_source,selection_source,selection_monitor,num_test,loss,rmse,mae,r2,corr
1,3281,0,365,test,test,loss,365,0.636074423789978,0.6370692581061259,0.41167556265853855,0.5414435963107689,0.7633135158194958
2,3281,0,365,test,test,loss,365,0.6733329097429911,0.6731570973829506,0.4372152995573331,0.5163389383428236,0.7317325133189118
3,3281,0,365,test,test,loss,365,0.7527825236320496,0.7508233060087172,0.4873597094253318,0.34275651039439836,0.626044764655674
4,3281,0,365,test,test,loss,365,0.6338097254435221,0.6340773825307069,0.4378780869996711,0.5646925199563197,0.7656048221827081
5,3281,0,365,test,test,loss,365,0.671525776386261,0.6711468491830037,0.42060723533369093,0.5277482382955427,0.7441062946992093
6,3281,0,365,test,test,loss,365,0.7350161870320638,0.7333789310172265,0.4695710404890857,0.5347270975306699,0.7365521618772227
7,3282,0,364,test,test,loss,364,0.7990351517995199,0.8016394282532283,0.5099819727896989,0.3426677818286321,0.6223661820446366
8,3282,0,364,test,test,loss,364,0.6910702387491862,0.6913092905814746,0.4327209669646326,0.49380928592233997,0.7315193373863528
9,3282,0,364,test,test,loss,364,0.6567237377166748,0.6568302734217203,0.4295289076782845,0.565977977830656,0.7570378665510965
10,3282,0,364,test,test,loss,364,0.6410133043924967,0.6409293041802839,0.40982123435689854,0.57376399991435,0.7800143632943093
