fold,num_source_train,num_val,num_cdan_target,cdan_target_source,selection_source,selection_monitor,num_test,loss,accuracy,precision_macro,recall_macro,f1_macro,auc
1,797,0,89,test,test,auc,89,0.5209366083145142,0.8089887640449438,0.813076923076923,0.8083333333333333,0.8081166772352568,0.9
2,797,0,89,test,test,auc,89,0.39639103412628174,0.8539325842696629,0.8541033434650456,0.8533872598584429,0.8536369386464263,0.9251769464105156
3,797,0,89,test,test,auc,89,0.5280066728591919,0.7865168539325843,0.7863636363636364,0.7866531850353893,0.786408993305545,0.8751263902932255
4,797,0,89,test,test,auc,89,0.5356238484382629,0.8314606741573034,0.8315602836879432,0.8308897876643073,0.8311195445920303,0.8943377148634984
5,797,0,89,test,test,auc,89,0.5712098479270935,0.7303370786516854,0.7305555555555556,0.730788675429727,0.7303030303030302,0.8634984833164814
6,797,0,89,test,test,auc,89,0.7287104725837708,0.7752808988764045,0.7755050505050505,0.7757836198179979,0.7752525252525253,0.852881698685541
7,798,0,88,test,test,auc,88,0.6493449807167053,0.7954545454545454,0.8386908240794857,0.7994832041343669,0.7901430842607313,0.8883720930232558
8,798,0,88,test,test,auc,88,0.6516211032867432,0.7954545454545454,0.8006279434850863,0.7968992248062015,0.7950310559006211,0.8697674418604651
9,798,0,88,test,test,auc,88,0.41859591007232666,0.875,0.8762939958592133,0.8757105943152454,0.8749838563864136,0.9286821705426356
10,798,0,88,test,test,auc,88,0.7163499593734741,0.7954545454545454,0.8006279434850863,0.7968992248062015,0.7950310559006211,0.848062015503876
