fold,num_source_train,num_val,num_cdan_target,cdan_target_source,selection_source,selection_monitor,num_test,loss,rmse,mae,r2,corr
1,797,0,89,test,test,loss,89,1.2751572132110596,1.2751572161975266,0.9677131191063463,0.7751574380734361,0.8806454814424469
2,797,0,89,test,test,loss,89,1.3207974433898926,1.3207974611441167,0.9800675638606039,0.7400025503372805,0.8663288595615055
3,797,0,89,test,test,loss,89,1.5577679872512817,1.5577679866034637,1.1257071153501446,0.6874088530328419,0.8342175623368483
4,797,0,89,test,test,loss,89,1.2020986080169678,1.2020985991751931,0.936375380232093,0.7981875183343982,0.902833684243983
5,797,0,89,test,test,loss,89,1.628760576248169,1.6287605803990557,1.270910016606363,0.6914020631747815,0.8446332214024348
6,797,0,89,test,test,loss,89,1.3004287481307983,1.300428702236724,1.0177624496851074,0.7190215962092247,0.8645642013201026
7,798,0,88,test,test,loss,88,1.596331238746643,1.5963311401641926,1.1465058184482835,0.6049933632214786,0.7781097382240093
8,798,0,88,test,test,loss,88,1.6098074913024902,1.6098075537085907,1.2311478460376912,0.6583235447140732,0.8243838337763563
9,798,0,88,test,test,loss,88,1.6042581796646118,1.604258180258166,1.1913518648255954,0.6510480144764415,0.8076660795032428
10,798,0,88,test,test,loss,88,1.2223031520843506,1.2223031387412506,0.9027952153912999,0.7804626570413716,0.8843809467257407
